,Pedigree,QGIS_rows,QGIS_range,PlotID,Date,Phenotype,Value,date,doy,gdd
0,W10004_0498 X PHP02,6,6_25,726,2020-06-15,NDVI,0.362880682209895,200615,167,198.91
1,W10004_0950 X PHK76,16,16_17,496,2020-06-15,NDVI,0.399762402568612,200615,167,198.91
2,W10004_0007 X PHK76,15,15_17,495,2020-06-15,NDVI,0.355600103861275,200615,167,198.91
3,W10004_0476 X PHK76,14,14_17,494,2020-06-15,NDVI,0.367332872409503,200615,167,198.91
4,W10004_0008 X PHK76,13,13_17,493,2020-06-15,NDVI,0.360626067113169,200615,167,198.91
5,W10004_0733 X PHK76,12,12_17,492,2020-06-15,NDVI,0.376827510161098,200615,167,198.91
6,TX779 X LH195,11,11_17,491,2020-06-15,NDVI,0.378313319727683,200615,167,198.91
7,W10004_0678 X PHK76,10,10_17,490,2020-06-15,NDVI,0.357038681704588,200615,167,198.91
8,W10004_0409 X PHK76,9,9_17,489,2020-06-15,NDVI,0.386315982591408,200615,167,198.91
9,W10004_0707 X PHK76,8,8_17,488,2020-06-15,NDVI,0.37360639798371,200615,167,198.91
10,W10004_0465 X PHK76,7,7_17,487,2020-06-15,NDVI,0.370121319766567,200615,167,198.91
11,W10004_0964 X PHK76,6,6_17,486,2020-06-15,NDVI,0.371242371065091,200615,167,198.91
12,W10004_0276 X PHK76,5,5_17,485,2020-06-15,NDVI,0.387150927268891,200615,167,198.91
13,W10004_0876 X PHK76,4,4_17,484,2020-06-15,NDVI,0.353245608729959,200615,167,198.91
14,W10004_1032 X PHK76,3,3_17,483,2020-06-15,NDVI,0.365340962822354,200615,167,198.91
15,W10004_0344 X PHK76,2,2_17,482,2020-06-15,NDVI,0.364570856377647,200615,167,198.91
16,W10004_0888 X PHK76,1,1_17,481,2020-06-15,NDVI,0.383527186724476,200615,167,198.91
17,W10004_0691 X PHP02,30,30_18,511,2020-06-15,NDVI,0.373761636157843,200615,167,198.91
18,TX779 X LH195,29,29_18,512,2020-06-15,NDVI,0.414390161485175,200615,167,198.91
19,W10004_0055 X PHP02,28,28_18,513,2020-06-15,NDVI,0.384892179746952,200615,167,198.91
20,W10004_0682 X PHK76,17,17_17,497,2020-06-15,NDVI,0.384044892613995,200615,167,198.91
21,W10004_0951 X PHK76,18,18_17,498,2020-06-15,NDVI,0.360978269104735,200615,167,198.91
22,W10004_0106 X PHK76,19,19_17,499,2020-06-15,NDVI,0.373034835452172,200615,167,198.91
23,W10004_0221 X PHK76,20,20_17,500,2020-06-15,NDVI,0.347981940967079,200615,167,198.91
24,W10004_0474 X PHK76,10,10_16,471,2020-06-15,NDVI,0.369357546640923,200615,167,198.91
25,W10004_0608 X PHK76,9,9_16,472,2020-06-15,NDVI,0.400710985012387,200615,167,198.91
26,W10004_0396 X PHK76,8,8_16,473,2020-06-15,NDVI,0.370867955475047,200615,167,198.91
27,W10004_0055 X PHK76,7,7_16,474,2020-06-15,NDVI,0.370591912961983,200615,167,198.91
28,W10004_0199 X PHK76,6,6_16,475,2020-06-15,NDVI,0.363864197992732,200615,167,198.91
29,W10004_1117 X PHK76,5,5_16,476,2020-06-15,NDVI,0.381277288610351,200615,167,198.91
30,W10004_0953 X PHK76,4,4_16,477,2020-06-15,NDVI,0.359755768467306,200615,167,198.91
31,B37 X OH43,3,3_16,478,2020-06-15,NDVI,0.369711724141681,200615,167,198.91
32,W10004_0834 X PHK76,2,2_16,479,2020-06-15,NDVI,0.366245897312348,200615,167,198.91
33,W10004_0974 X PHP02,27,27_18,514,2020-06-15,NDVI,0.360331704795038,200615,167,198.91
34,W10004_0736 X PHK76,1,1_16,480,2020-06-15,NDVI,0.396908977080856,200615,167,198.91
35,W10004_0148 X PHP02,29,29_17,509,2020-06-15,NDVI,0.412121311320451,200615,167,198.91
36,W10004_0291 X PHP02,28,28_17,508,2020-06-15,NDVI,0.380965307239948,200615,167,198.91
37,W10004_0258 X PHP02,27,27_17,507,2020-06-15,NDVI,0.366119486482795,200615,167,198.91
38,W10004_0309 X PHP02,26,26_17,506,2020-06-15,NDVI,0.362853037192412,200615,167,198.91
39,W10004_0381 X PHP02,25,25_17,505,2020-06-15,NDVI,0.419833629395542,200615,167,198.91
40,W10004_0026 X PHP02,24,24_17,504,2020-06-15,NDVI,0.365526288090805,200615,167,198.91
41,W10004_0751 X PHP02,23,23_17,503,2020-06-15,NDVI,0.370607937561482,200615,167,198.91
42,W10004_0900 X PHP02,22,22_17,502,2020-06-15,NDVI,0.364560212513489,200615,167,198.91
43,W10004_1063 X PHP02,21,21_17,501,2020-06-15,NDVI,0.399495698571539,200615,167,198.91
44,W10004_0886 X PHP02,30,30_17,510,2020-06-15,NDVI,0.376015780154863,200615,167,198.91
45,W10004_0884 X PHK76,11,11_16,470,2020-06-15,NDVI,0.365489926014477,200615,167,198.91
46,W10004_0008 X PHP02,26,26_18,515,2020-06-15,NDVI,0.362036933354059,200615,167,198.91
47,W10004_0189 X PHP02,24,24_18,517,2020-06-15,NDVI,0.363542650305259,200615,167,198.91
48,W10004_1123 X PHP02,29,29_19,569,2020-06-15,NDVI,0.398706197062938,200615,167,198.91
49,W10004_0695 X PHP02,28,28_19,568,2020-06-15,NDVI,0.385967002388748,200615,167,198.91
50,W10004_0394 X PHP02,27,27_19,567,2020-06-15,NDVI,0.379724498196956,200615,167,198.91
51,W10004_1117 X PHP02,26,26_19,566,2020-06-15,NDVI,0.378099659051529,200615,167,198.91
52,W10004_0093 X PHP02,25,25_19,565,2020-06-15,NDVI,0.403503253602709,200615,167,198.91
53,W10004_0045 X PHP02,24,24_19,564,2020-06-15,NDVI,0.357694337425136,200615,167,198.91
54,W10004_0680 X PHP02,23,23_19,563,2020-06-15,NDVI,0.361514676436,200615,167,198.91
55,W10004_0256 X PHP02,22,22_19,562,2020-06-15,NDVI,0.363957029439005,200615,167,198.91
56,W10004_0940 X PHP02,21,21_19,561,2020-06-15,NDVI,0.378049876124413,200615,167,198.91
57,W10004_0799 X PHP02,20,20_19,560,2020-06-15,NDVI,0.362801136278479,200615,167,198.91
58,W10004_0639 X PHP02,19,19_19,559,2020-06-15,NDVI,0.372932562810098,200615,167,198.91
