"","PlotID","Python_Height","X","LAI","Pedigree","Exp_row","Exp_range"
"1",1,0.591661224365225,1,0.0725247860926253,"Fill/HB",1,1
"2",2,0.778610229492188,2,0.0807672721099983,"Fill/HB",2,1
"3",3,0.769883422851564,3,0.0850449838737057,"Fill/HB",3,1
"4",4,0.848297119140625,4,0.0912918010524529,"Fill/HB",4,1
"5",5,0.631729125976562,5,0.0675359070999287,"Fill/HB",5,1
"6",6,0.526917724609376,6,0.032931590561874,"Fill/HB",6,1
"7",7,1.01944229125976,7,0.200801303816379,"W10004_0290/PHK76",7,1
"8",8,1.02484130859375,8,0.226156927986962,"W10004_0498/PHK76",8,1
"9",9,1.06558227539062,9,0.23906695640364,"Fill/HB",9,1
"10",10,1.068603515625,10,0.282668477338313,"Fill/HB",10,1
"11",11,1.28627014160156,11,0.294415209641826,"W10004_0884/PHK76",11,1
"12",12,1.16123962402344,12,0.177333378603198,"W10004_0037/PHK76",12,1
"13",13,1.33235168457031,13,0.383110930019354,"Fill/HB",13,1
"14",14,0.667861938476562,14,0.155825638240087,"Fill/HB",14,1
"15",15,1.0345458984375,15,0.24002716007469,"W10004_0065/PHK76",15,1
"16",16,0.975817413330077,16,0.196088418050321,"W10004_0103/PHK76",16,1
"17",17,0.569874877929692,17,0.0448820234255644,"Fill/HB",17,1
"18",18,0.503036499023438,18,0.0828042777117637,"Fill/HB",18,1
"19",19,0.989151000976562,19,0.178889115230529,"W10004_1007/PHK76",19,1
"20",20,0.918197631835938,20,0.146815156865408,"W10004_0168/PHK76",20,1
"21",21,1.11021850585936,21,0.204549312510609,"Fill/HB",21,1
"22",22,0.677490234375,22,0.0699056155360902,"Fill/HB",22,1
"23",23,0.972259521484375,23,0.132384897460274,"W10004_0950/PHK76",23,1
"24",24,0.67913818359375,24,0.0698061318032119,"W10004_0080/PHK76",23,2
"25",25,0.642457275390626,25,0.0375475285171103,"W10004_1112/PHK76",22,2
"26",26,0.631259765625003,26,0.0232905547633598,"W10004_0827/PHK76",21,2
"27",27,0.77696624755859,27,0.0705942275042445,"B37/OH43",20,2
"28",28,0.560318756103527,28,0.0287227541250764,"W10004_0079/PHK76",19,2
"29",29,0.611502075195318,29,0.0723186093097477,"W10004_0264/PHK76",18,2
"30",30,0.69427490234375,30,0.0862642585551331,"W10004_0062/PHK76",17,2
"31",31,0.773300170898438,31,0.0838935288925104,"W10004_0199/PHK76",16,2
"32",32,0.817947387695312,32,0.116215115094724,"W10004_0632/PHK76",15,2
"33",33,1.0523681640625,33,0.132099813274486,"W10004_0649/PHK76",14,2
"34",34,0.87889343261719,34,0.102427431675437,"W10004_0949/PHK76",13,2
"35",35,0.923126220703125,35,0.127907371566331,"F42/H95",12,2
"36",36,1.10153198242188,36,0.283095100668862,"W10004_0041/PHK76",11,2
"37",37,0.758026123046875,37,0.0687126561651276,"LH82/TX779",10,2
"38",38,1.02668762207031,38,0.194493481803368,"W10004_0389/PHK76",9,2
"39",39,0.786407470703125,39,0.0883441415135979,"TX773/TX779",8,2
"40",40,0.571563720703125,40,0.0869520931653821,"W10004_0782/PHK76",7,2
"41",41,0.768020629882812,41,0.141368188762519,"W10004_0879/PHK76",6,2
"42",42,0.859100341796875,42,0.241419113902563,"W10004_0179/PHK76",5,2
"43",43,1.05921936035156,43,0.269063624635024,"W10004_0430/PHK76",4,2
"44",44,1.04144287109375,44,0.223010592069527,"W10004_0741/PHK76",3,2
"45",45,1.04389953613281,45,0.241104169496129,"W10004_0822/PHK76",2,2
"46",46,1.44926803588868,46,0.438238489746027,"W10004_0271/PHK76",1,2
"47",47,1.12147521972656,47,0.272440249864204,"W10004_0892/PHK76",1,3
"48",48,0.893234252929688,48,0.0864708877949414,"W10004_0966/PHK76",2,3
"49",49,0.884161376953131,49,0.141819169524327,"W10004_0732/PHK76",3,3
"50",50,0.62260681152344,50,0.0524189441520964,"W10004_0798/PHK76",4,3
"51",51,0.5841064453125,51,0.0298421320658632,"W10004_0078/PHK76",5,3
"52",52,0.615709533691415,52,0.0764921572621715,"W10004_0129/PHK76",6,3
"53",53,0.738265991210938,53,0.0825806451612903,"B73/PHN82",7,3
"54",54,0.747790069580077,54,0.0885788008419909,"W10004_0631/PHK76",8,3
"55",55,0.75213623046875,55,0.0749253123302553,"W10004_1018/PHK76",9,3
"56",56,0.764009246826163,56,0.0864738235893257,"W10004_0256/PHK76",10,3
"57",57,0.540695190429688,57,0.0268187527582578,"W10004_0688/PHK76",11,3
"58",58,0.660951385498038,58,0.0219317603123409,"W10004_1140/PHK76",12,3
"59",59,1.00459289550781,59,0.110269903242234,"W10004_1001/PHK76",13,3
"60",60,0.808090972900402,60,0.0788973384030418,"W10004_0715/PHK76",14,3
"61",61,0.810867309570312,61,0.133186216262095,"W10004_0220/PHK76",15,3
"62",62,1.09949432373048,62,0.202654987438039,"W10004_0008/PHK76",16,3
"63",63,0.64239501953125,63,0.0702451279961975,"LH74/PHN82",17,3
"64",64,0.932815551757812,64,0.155784183898679,"W10004_0098/PHK76",18,3
"65",65,0.766301574707029,65,0.150161262943473,"W10004_0032/PHK76",19,3
"66",66,0.766983032226562,66,0.169507061379685,"W10004_0885/PHK76",20,3
"67",67,0.897109985351562,67,0.186108093427485,"B14A/H95",21,3
"68",68,1.05831909179688,68,0.201018502800883,"W10004_0093/PHK76",22,3
"69",69,1.06507873535156,69,0.19569498200584,"W10004_0776/PHK76",23,3
"70",70,0.255462646484375,70,0.0241749286975418,"W10004_0828/PHK76",23,4
"71",71,0.865310516357425,71,0.170894027367492,"W10004_0981/PHK76",22,4
"72",72,0.928532257080064,72,0.1748030961434,"W10004_0636/PHK76",21,4
"73",73,0.485337829589838,73,0.0487167300380228,"LOCAL_CHECK",20,4
"74",74,0.336167602539064,74,0.0402349585766671,"W10004_0110/PHK76",19,4
"75",75,0.391636047363278,75,0.0388389068069937,"W10004_0733/PHK76",18,4
"76",76,0.656753540039062,76,0.0863099280184707,"W10004_0465/PHK76",17,4
"77",77,0.475326538085938,77,0.0645391274826006,"W10004_0774/PHK76",16,4
"78",78,0.441468048095714,78,0.0634187744016296,"W10004_0047/PHK76",15,4
"79",79,1.13781860351563,79,0.213119206871966,"W10004_0687/PHK76",14,4
"80",80,1.01539611816406,80,0.146883063968491,"W10004_0852/PHK76",13,4
"81",81,0.889190673828125,81,0.123455113404862,"W10004_0014/PHK76",12,4
"82",82,0.499865722656239,82,0.0166355457477508,"W10004_0667/PHK76",11,4
"83",83,0.610383758544913,83,0.0822410865874363,"W10004_0684/PHK76",10,4
"84",84,0.416322479248038,84,0.0403978680788947,"W10004_0409/PHK76",9,4
"85",85,0.439743041992188,85,0.0341210022407822,"W10004_0291/PHK76",8,4
"86",86,0.271560668945312,86,0.0073666700614455,"W10004_0691/PHK76",7,4
"87",87,0.735427856445312,87,0.028720803910918,"W10004_0189/PHK76",6,4
"88",88,0.739569091796881,88,0.060199646883064,"W10004_0932/PHK76",5,4
"89",89,0.841298217773442,89,0.0835596903436099,"W10004_0231/PHK76",4,4
"90",90,1.07301330566406,90,0.211400054318305,"W10004_0487/PHK76",3,4
"91",91,0.268081665039062,91,0.0224070616194195,"W10004_1052/PHK76",2,4
"92",92,0.856307983398438,92,0.12295415959253,"W10004_1080/PHK76",1,4
"93",93,0.380035400390625,93,0.0356803367734927,"W10004_0618/PHK76",1,5
"94",94,0.263717651367188,94,0.0176873981531776,"W10004_0851/PHK76",2,5
"95",95,0.949732360839846,95,0.0800679117147708,"W10004_0673/PHK76",3,5
"96",96,0.6907958984375,96,0.0661664856056491,"W10004_0612/PHK76",4,5
"97",97,1.08818389892579,97,0.233712442709217,"W10004_0171/PHK76",5,5
"98",98,1.07899993896484,98,0.261381768799864,"W10004_0063/PHK76",6,5
"99",99,1.07197570800781,99,0.162168584716706,"W10004_0101/PHK76",7,5
"100",100,1.17752075195312,100,0.272924800543202,"W10004_0970/PHK76",8,5
"101",101,1.29025268554688,101,0.310562591247072,"W10004_0900/PHK76",9,5
"102",102,0.779315185546864,102,0.115573965300648,"W10004_0971/PHK76",10,5
"103",103,1.13198852539062,103,0.25282634527245,"W10004_1084/PHK76",11,5
