"","PlotID","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"1",1,0.103327094940439,0.189514359568309,0.303655451085982,0.674583472113385,0.863141318435148,0.641957782411409,"Fill/HB",1,1
"2",2,0.0917825853680769,0.226390211062458,0.331646358118386,0.68291429538783,0.795651919254397,0.683048160199971,"Fill/HB",2,1
"3",3,0.0898866600349904,0.192371416443894,0.309147805804651,0.691514188267849,0.856849501841609,0.6614016106801,"Fill/HB",3,1
"4",4,0.107225932403848,0.135010524069728,0.262331764575136,0.664067336162149,0.961535372783627,0.598544957479373,"Fill/HB",4,1
"5",5,0.115158700743498,0.123871967966532,0.252885488031111,0.661060544071325,0.985300104560076,0.581166040226866,"Fill/HB",5,1
"6",6,0.126489793711717,0.114568301649431,0.2443258358569,0.637608601406017,0.996667479826984,0.547083339243995,"Fill/HB",6,1
"7",7,0.088766858191943,0.180753756344362,0.281638062361685,0.612015900443905,0.85235341591629,0.662559532753473,"W10004_0290/PHK76",7,1
"8",8,0.0842512878386201,0.188735919306935,0.283351859284819,0.596592969846664,0.82830222306087,0.676778287010469,"W10004_0498/PHK76",8,1
"9",9,0.0767687121319272,0.166718061759802,0.2680567075132,0.598347763489764,0.871370454312137,0.671707988008434,"Fill/HB",9,1
"10",10,0.0715319574771491,0.190424271679592,0.279651382778883,0.588689040450935,0.822749276444248,0.705734962185032,"Fill/HB",10,1
"11",11,0.0955046864551913,0.158631414134473,0.255119311547799,0.565748559368254,0.881095705396208,0.65919169292889,"W10004_0884/PHK76",11,1
"12",12,0.0949139407805302,0.142377133585322,0.253986395881611,0.602471755388608,0.925854955698797,0.640618502736172,"W10004_0037/PHK76",12,1
"13",13,0.0835552866169419,0.181919986391201,0.274407837108689,0.584657298011369,0.838208037366678,0.69409565238186,"Fill/HB",13,1
"14",14,0.0996575023527176,0.165399756577584,0.272084938321007,0.60916267988191,0.890750255362889,0.64215846768783,"Fill/HB",14,1
"15",15,0.0811067165828039,0.192909976158758,0.289390754651505,0.612736933325911,0.831999017147075,0.685487591554971,"W10004_0065/PHK76",15,1
"16",16,0.0910877975876772,0.132070441993783,0.244634894946927,0.597296950779453,0.945054960678647,0.623844829432244,"W10004_0103/PHK76",16,1
"17",17,0.109468382711512,0.101896211001144,0.229237225466532,0.609385170395489,1.01798237014419,0.559827360410155,"Fill/HB",17,1
"18",18,0.109215137612977,0.126286687850622,0.244466080595426,0.603159203647328,0.964013835272486,0.579225756384199,"Fill/HB",18,1
"19",19,0.0983227665582857,0.13572576907823,0.247413246599689,0.593565692561675,0.939375319993046,0.608778788161618,"W10004_1007/PHK76",19,1
"20",20,0.104203025099758,0.122483887305167,0.239637897213649,0.60211968639874,0.972083703955144,0.587466178919543,"W10004_0168/PHK76",20,1
"21",21,0.0906192023890804,0.132891576515287,0.242325830381502,0.582611819099721,0.939439360502762,0.617725249564158,"Fill/HB",21,1
"22",22,0.099193750932416,0.0989976294844411,0.22418224480237,0.597529115861333,1.01871111911947,0.566339495669497,"Fill/HB",22,1
"23",23,0.102678453824562,0.112298509456405,0.227303114853274,0.573798395061006,0.981217292337012,0.581857506555579,"W10004_0950/PHK76",23,1
"24",24,0.102669378900843,0.10940327531482,0.235103797949287,0.625400673623972,1.00673738225992,0.575099055929033,"W10004_0080/PHK76",23,2
"25",25,0.111834149106156,0.0995024584767907,0.221725033175829,0.582725312075572,1.02071031366809,0.548119978769497,"W10004_1112/PHK76",22,2
"26",26,0.119663017255207,0.0812010490064851,0.209090033836939,0.577994015452549,1.05621172704806,0.516780344420239,"W10004_0827/PHK76",21,2
"27",27,0.108976348262208,0.0936234627304856,0.218444515658627,0.585204362205505,1.03066802542698,0.554918078567769,"B37/OH43",20,2
"28",28,0.141119085992625,0.0671584493459156,0.193294110188529,0.545500801703208,1.08389106902312,0.489793926382149,"W10004_0079/PHK76",19,2
"29",29,0.134045366544073,0.0894925172825957,0.208902856770493,0.549124391953671,1.03475414070463,0.519990929027521,"W10004_0264/PHK76",18,2
"30",30,0.12039048219775,0.0979890985985969,0.215277712053909,0.559823546924463,1.01550047631114,0.550190432672326,"W10004_0062/PHK76",17,2
"31",31,0.105619347745147,0.116623389969071,0.228094414896742,0.565931885005456,0.974869931859328,0.585985407119225,"W10004_0199/PHK76",16,2
"32",32,0.0991343287234255,0.114112330006199,0.232906995414577,0.599500522370512,0.987978050668988,0.595906251078114,"W10004_0632/PHK76",15,2
"33",33,0.109714427209278,0.115413931256535,0.225399673993031,0.554016612676065,0.969978324793483,0.577544968882213,"W10004_0649/PHK76",14,2
"34",34,0.105828415792698,0.109431177234007,0.225338691258625,0.573783594959421,0.989444195758861,0.57914496481366,"W10004_0949/PHK76",13,2
"35",35,0.0927014005424697,0.119628660411711,0.23835428815927,0.602958714646347,0.974388056702801,0.599024475278943,"F42/H95",12,2
"36",36,0.0837550694697424,0.143164195088462,0.243083307449859,0.562046543864498,0.909076481528324,0.647144059835147,"W10004_0041/PHK76",11,2
"37",37,0.105268734826187,0.0993959653276598,0.226899378854745,0.610527250075472,1.02197181447927,0.564868638918098,"LH82/TX779",10,2
"38",38,0.0932440184071092,0.154649243066322,0.258464509596563,0.588021845974361,0.9012487132389,0.625242337359257,"W10004_0389/PHK76",9,2
"39",39,0.0980395473238046,0.12273179256958,0.241478668321969,0.603692724814708,0.975347125604058,0.595945297402857,"TX773/TX779",8,2
"40",40,0.104878853784959,0.117205236122033,0.237514968545529,0.601767240350124,0.981175030976274,0.580781890483763,"W10004_0782/PHK76",7,2
"41",41,0.0944954972194288,0.176352109818225,0.278299085759899,0.610768016639328,0.869623549010971,0.647741726690913,"W10004_0879/PHK76",6,2
"42",42,0.0761632492741084,0.238047060129984,0.323023123419805,0.625975680381721,0.754197426871557,0.722300380384621,"W10004_0179/PHK76",5,2
"43",43,0.0766488694720675,0.226464402928928,0.309611508491964,0.609470790505715,0.76749268345339,0.720884206499109,"W10004_0430/PHK76",4,2
"44",44,0.0790951314969557,0.185513746755281,0.284813605565785,0.614597256867168,0.84293502226829,0.697046473988792,"W10004_0741/PHK76",3,2
"45",45,0.0792904519476249,0.161435021412608,0.264389930494117,0.597098911254864,0.880604759515858,0.679628173397093,"W10004_0822/PHK76",2,2
"46",46,0.0730318731085855,0.196233145617077,0.283170175496644,0.585959940301825,0.808177178057717,0.714618900839514,"W10004_0271/PHK76",1,2
"47",47,0.0656823023371599,0.24393947778248,0.329248445814308,0.636673943149258,0.73856452947502,0.745160791422478,"W10004_0892/PHK76",1,3
"48",48,0.112776468579952,0.119826420115328,0.245032320421403,0.630980072183425,0.986075271693625,0.579933146217975,"W10004_0966/PHK76",2,3
"49",49,0.102568100637034,0.1345361507033,0.244734300665941,0.590478195380846,0.937015494254059,0.609412138703467,"W10004_0732/PHK76",3,3
"50",50,0.099062082563893,0.156884451613548,0.277215974749846,0.661774793948964,0.923906180530887,0.62266663738118,"W10004_0798/PHK76",4,3
"51",51,0.136601606266487,0.118061613206418,0.243410503239488,0.624305905418646,0.990925726676568,0.545175616581033,"W10004_0078/PHK76",5,3
"52",52,0.113174331780775,0.145654558701355,0.265952866257544,0.647358038340982,0.938958683022294,0.601430923520913,"W10004_0129/PHK76",6,3
"53",53,0.102305296654449,0.144999471221224,0.267628068619859,0.658195885065221,0.942118361144204,0.613975420801573,"B73/PHN82",7,3
"54",54,0.10710163058678,0.139335724428465,0.263754237687841,0.653614251912408,0.95179007141112,0.602312386474076,"W10004_0631/PHK76",8,3
"55",55,0.0994763609449723,0.16896927418672,0.28683349172716,0.661235669565076,0.896041183347767,0.6328383006285,"W10004_1018/PHK76",9,3
"56",56,0.10167595668841,0.172766650058633,0.2902464336122,0.665602450910903,0.889388098857361,0.634203647596115,"W10004_0256/PHK76",10,3
"57",57,0.133674664074368,0.121262903740995,0.246052731251092,0.628156579622983,0.986951072341721,0.558076988841444,"W10004_0688/PHK76",11,3
