Exp,Year,Location,Exp_ID,Loc_Exp,Rep,Block,Plot_in_rep,Pedigree,Seed_Source,Line,Group,Plot_ID,Plot_in_loc,Exp_row,Exp_range,G2Fplot,MOplot,,Check,Compare
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,1,1,NA,1,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,2,1,NA,2,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,3,1,NA,3,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,4,1,NA,4,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,5,1,NA,5,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,6,1,NA,6,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,1,1,7,W10004_0290/PHK76,NA,W10004_0290,DH,25507,7,7,1,7,7,,TRUE,TRUE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,1,1,8,W10004_0498/PHK76,NA,W10004_0498,DH,25508,8,8,1,8,8,,TRUE,TRUE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,9,1,NA,9,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,10,1,NA,10,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,1,2,11,W10004_0884/PHK76,NA,W10004_0884,DH,25511,11,11,1,11,11,,TRUE,TRUE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,1,2,12,W10004_0037/PHK76,NA,W10004_0037,DH,25512,12,12,1,12,12,,TRUE,TRUE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,13,1,NA,13,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,14,1,NA,14,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,1,2,15,W10004_0065/PHK76,NA,W10004_0065,DH,25515,15,15,1,15,15,,TRUE,TRUE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,1,2,16,W10004_0103/PHK76,NA,W10004_0103,DH,25516,16,16,1,16,16,,TRUE,TRUE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,17,1,NA,17,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,NA,NA,NA,Fill/HB,NA,NA,NA,NA,NA,18,1,NA,18,,TRUE,FALSE
G2F_PHK76,2021,MOH2,2,MOH2_G2F_PHK76,1,2,19,W10004_1007/PHK76,NA,W10004_1007,DH,25519,19,19,1,19,19,,TRUE,TRUE
