"","PlotID","new_ID","Exp","Year","Location","Exp_ID","Loc_Exp","Rep","Block","Plot_in_rep","Pedigree","Seed_Source","Line","Group","Plot_ID","Plot_in_loc","Exp_row","Exp_range","G2Fplot","X","Check","Compare"
"1",1,1,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,1,1,NA,NA,TRUE,FALSE
"2",2,2,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,2,1,NA,NA,TRUE,FALSE
"3",3,3,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,3,1,NA,NA,TRUE,FALSE
"4",4,4,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,4,1,NA,NA,TRUE,FALSE
"5",5,5,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,5,1,NA,NA,TRUE,FALSE
"6",6,6,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,6,1,NA,NA,TRUE,FALSE
"7",7,7,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,1,7,"W10004_0290/PHK76",NA,"W10004_0290","DH",25507,7,7,1,7,NA,TRUE,TRUE
"8",8,8,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,1,8,"W10004_0498/PHK76",NA,"W10004_0498","DH",25508,8,8,1,8,NA,TRUE,TRUE
"9",9,9,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,9,1,NA,NA,TRUE,FALSE
"10",10,10,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,10,1,NA,NA,TRUE,FALSE
"11",11,11,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,2,11,"W10004_0884/PHK76",NA,"W10004_0884","DH",25511,11,11,1,11,NA,TRUE,TRUE
"12",12,12,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,2,12,"W10004_0037/PHK76",NA,"W10004_0037","DH",25512,12,12,1,12,NA,TRUE,TRUE
"13",13,13,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,13,1,NA,NA,TRUE,FALSE
"14",14,14,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,14,1,NA,NA,TRUE,FALSE
"15",15,15,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,2,15,"W10004_0065/PHK76",NA,"W10004_0065","DH",25515,15,15,1,15,NA,TRUE,TRUE
"16",16,16,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,2,16,"W10004_0103/PHK76",NA,"W10004_0103","DH",25516,16,16,1,16,NA,TRUE,TRUE
"17",17,17,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,17,1,NA,NA,TRUE,FALSE
"18",18,18,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,18,1,NA,NA,TRUE,FALSE
"19",19,19,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,2,19,"W10004_1007/PHK76",NA,"W10004_1007","DH",25519,19,19,1,19,NA,TRUE,TRUE
"20",20,20,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,2,20,"W10004_0168/PHK76",NA,"W10004_0168","DH",25520,20,20,1,20,NA,TRUE,TRUE
"21",21,21,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,21,1,NA,NA,TRUE,FALSE
"22",22,22,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",NA,NA,NA,"Fill/HB",NA,NA,NA,NA,NA,22,1,NA,NA,TRUE,FALSE
"23",23,23,"G2F_PHK76",2021,"MOH2",2,"MOH2_G2F_PHK76",1,3,23,"W10004_0950/PHK76",NA,"W10004_0950","DH",25523,23,23,1,23,NA,TRUE,TRUE
